0,1,2,3
0.6163291,0.8522713,0.82948685,0.16528842
0.8286298,0.89747244,0.9194827,0.58197904
0.8992429,0.90722567,0.9458238,0.7500274
0.9280046,0.9124769,0.9559487,0.82530546
0.9420081,0.91574013,0.9611992,0.86677754
0.95003307,0.91734874,0.9642268,0.8930641
0.95477617,0.91848993,0.9659808,0.9100706
0.9577392,0.9194203,0.9671491,0.92174596
0.9597332,0.9197719,0.96774405,0.9302987
0.9607845,0.92002577,0.96779734,0.936691
0.96095896,0.91974896,0.9671299,0.94178396
0.9604142,0.92008907,0.9654835,0.94573325
0.9593168,0.92125416,0.963275,0.9486768
0.9574793,0.92378193,0.9598857,0.95009786
0.9556317,0.9255854,0.95638597,0.9511904
0.95369494,0.9275242,0.9527657,0.95175946
0.95094365,0.9283124,0.94813424,0.9514925
0.9471039,0.92844766,0.9427473,0.9507073
0.94222206,0.9277437,0.9368489,0.94880635
0.93649346,0.9265312,0.93001044,0.94592494
0.9294144,0.9242375,0.92189866,0.9422042
0.92023116,0.9201836,0.9120671,0.9369078
0.9083853,0.9144983,0.9006461,0.9292246
0.8940935,0.9074633,0.886785,0.9198869
0.87667435,0.8984476,0.8700483,0.908195
0.85548174,0.8873223,0.84960926,0.8941301
0.8310142,0.8736689,0.8260101,0.8758142
0.80224097,0.85572696,0.7986816,0.8515737
0.7671727,0.8309489,0.7666455,0.8197156
0.7262743,0.798578,0.7304673,0.78211105
0.6796493,0.75859624,0.6900595,0.737779
0.62673604,0.7094518,0.64589393,0.6885371
0.5616032,0.645705,0.5893868,0.62985253
0.4868797,0.5686499,0.52005595,0.561165
0.40399936,0.47864532,0.4403849,0.48035923
0.31415692,0.38056344,0.35268855,0.39019498
0.21805796,0.27262557,0.2578,0.29115456
0.123700716,0.1634505,0.16164027,0.19124946
0.0333895,0.063146144,0.0687688,0.09751857
-0.05052979,-0.02843923,-0.020846117,0.011592403
-0.12630416,-0.10987843,-0.09968733,-0.06778765
-0.19371815,-0.18204051,-0.17062932,-0.13861758
-0.25306803,-0.24812652,-0.23185325,-0.20287307
-0.30751184,-0.3088699,-0.2869295,-0.25830674
-0.358505,-0.36364484,-0.33653516,-0.30911613
-0.40350258,-0.4115774,-0.38333803,-0.35545886
-0.44225183,-0.45213592,-0.42510375,-0.39729506
-0.4763277,-0.48630202,-0.4597275,-0.43301198
-0.5068313,-0.51579124,-0.48860165,-0.46355543
-0.53279406,-0.5415442,-0.5136961,-0.49037683
-0.5562688,-0.56326675,-0.53601795,-0.51347864
-0.57703495,-0.58249104,-0.5561576,-0.5344267
-0.5957414,-0.6000353,-0.5738632,-0.55321807
-0.61332273,-0.61672914,-0.5897736,-0.5710978
-0.6285967,-0.63107204,-0.60398155,-0.5857197
-0.6406846,-0.6432406,-0.61595833,-0.5989785
-0.6500579,-0.653159,-0.625345,-0.6100807
-0.6576995,-0.66221106,-0.63307357,-0.62017554
-0.66363,-0.6698619,-0.63948804,-0.62831485
-0.6679224,-0.67498153,-0.6444283,-0.63456863
-0.6703691,-0.6784593,-0.64767724,-0.6389059
-0.6706697,-0.6801176,-0.6492144,-0.64153004
-0.67080665,-0.6795006,-0.65027785,-0.6429826
-0.6705908,-0.6778002,-0.6520302,-0.6441902
-0.6689403,-0.67432725,-0.6522876,-0.6442046
-0.666013,-0.66914725,-0.65083516,-0.64260614
-0.66154265,-0.66311324,-0.6484412,-0.63931406
-0.6552555,-0.6558909,-0.6442927,-0.63501644
-0.64784646,-0.64733195,-0.63918793,-0.629396
-0.63947237,-0.6388847,-0.632799,-0.6225307
-0.63038325,-0.6306507,-0.62553895,-0.61467767
-0.6203291,-0.6216706,-0.6179098,-0.60566574
-0.61003476,-0.61198354,-0.6096907,-0.59644496
-0.5994383,-0.601626,-0.60053444,-0.586828
-0.5889559,-0.591316,-0.59096634,-0.5778837
-0.57768255,-0.5805422,-0.5804942,-0.56837
-0.5656012,-0.56857705,-0.5693089,-0.55757344
-0.55222416,-0.55559623,-0.55713004,-0.5461174
-0.5363432,-0.5418824,-0.5435808,-0.53363407
-0.51947826,-0.5270104,-0.5279256,-0.520482
-0.50168556,-0.5107734,-0.5111717,-0.5055264
-0.4824206,-0.49365246,-0.4932008,-0.48951715
-0.461594,-0.474784,-0.47313595,-0.4725533
-0.43947378,-0.45389915,-0.4511555,-0.45452034
-0.4164951,-0.4315974,-0.4274986,-0.43503764
-0.39310992,-0.4080184,-0.40211394,-0.4140044
-0.3696112,-0.38388962,-0.3754402,-0.3925374
-0.34493157,-0.3585148,-0.34820208,-0.37045178
-0.31906053,-0.33288917,-0.31994182,-0.34722078
-0.29326746,-0.30692473,-0.29143703,-0.322949
-0.26740566,-0.28052965,-0.26357245,-0.29812628
-0.24131316,-0.25365013,-0.23644142,-0.27307767
-0.21559775,-0.22649437,-0.20954141,-0.24793857
-0.18955761,-0.19913085,-0.18240985,-0.22215402
-0.16222964,-0.17055766,-0.1549314,-0.19641238
-0.13414566,-0.14175197,-0.1264436,-0.16933535
-0.1062228,-0.11268152,-0.09805614,-0.14021032
-0.07994531,-0.08595272,-0.07195689,-0.11229085
-0.055133954,-0.060959365,-0.047286604,-0.08582552
-0.030089997,-0.035802346,-0.023323247,-0.05860517
