0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,4.0
-6.509157e-06,7.4458667e-06,0.0019606063,-0.0023798267,-0.008118883,-0.0069463453,-0.0011062579,0.0012698208,0.19842829,-0.20210215,-0.73282844,-0.6425975,-4.0,4.0,4.0
-8.474632e-05,9.7446515e-05,0.008000771,-0.007185805,-0.027238203,-0.024320388,-0.007987633,0.009206709,0.40672767,-0.26424503,-1.1427112,-1.0697074,-4.0,4.0,4.0
-0.00038940174,0.00044958226,0.018261746,-0.012650774,-0.05284334,-0.048989486,-0.024238985,0.028077994,0.61995053,-0.27805808,-1.399622,-1.3821695,-4.0,4.0,4.0
-0.0011324758,0.0013128772,0.032813214,-0.018167365,-0.08264285,-0.079104975,-0.052142084,0.060716398,0.8353753,-0.27076283,-1.5681514,-1.6185362,-4.0,4.0,4.0
-0.002562993,0.0029831,0.051675946,-0.023401871,-0.115171984,-0.11335994,-0.093180135,0.10902509,1.0506874,-0.25118566,-1.6764029,-1.7989268,-4.0,4.0,4.0
-0.0049534496,0.0057863565,0.07482456,-0.028159654,-0.14940935,-0.15078327,-0.14824855,0.17416337,1.2636007,-0.2234652,-1.7409179,-1.9372158,-4.0,4.0,4.0
-0.008589818,0.010065955,0.10219036,-0.0322942,-0.1845781,-0.19062331,-0.21782216,0.2567156,1.4720879,-0.18876061,-1.7709113,-2.0415957,-4.0,4.0,4.0
-0.013764206,0.016171984,0.13366659,-0.035661615,-0.22007218,-0.23225546,-0.30205536,0.35678884,1.6743653,-0.14676428,-1.7746578,-2.117127,-4.0,4.0,4.0
-0.020769209,0.024452336,0.16911277,-0.03811165,-0.25541946,-0.27513626,-0.40084767,0.47405937,1.8688279,-0.09703821,-1.756756,-2.1667612,-4.0,4.0,4.0
-0.0298931,0.035244312,0.20835778,-0.039499052,-0.29022318,-0.31876203,-0.5138762,0.60780215,2.054027,-0.04063306,-1.7210774,-2.1917934,-4.0,4.0,4.0
-0.041416034,0.048867412,0.2512043,-0.039695747,-0.32418045,-0.36265004,-0.64065963,0.75697166,2.228804,0.022127979,-1.6727026,-2.1932714,-4.0,4.0,4.0
-0.055607256,0.06561737,0.29743463,-0.038562514,-0.35705155,-0.40635082,-0.78060114,0.92025423,2.3923037,0.092540435,-1.6123563,-2.173239,-4.0,4.0,4.0
-0.07272337,0.08576174,0.34681794,-0.035929006,-0.3885901,-0.4494428,-0.9330301,1.0961502,2.5440545,0.17251146,-1.5396241,-2.1327941,-4.0,4.0,4.0
-0.0930068,0.10953657,0.3991177,-0.031605348,-0.41856968,-0.49154043,-1.0971997,1.2830117,2.6839511,0.26089936,-1.4564114,-2.0739536,-4.0,4.0,4.0
-0.116683975,0.1371435,0.45409796,-0.025463238,-0.446764,-0.5322775,-1.2722584,1.4790627,2.8121657,0.35376602,-1.3611882,-1.9966037,-4.0,4.0,4.0
-0.14396338,0.16874816,0.5115294,-0.01744866,-0.4729533,-0.5712736,-1.4572453,1.6824689,2.9291492,0.44764706,-1.2562186,-1.8996549,-4.0,4.0,4.0
-0.17503276,0.20447882,0.5711934,-0.0075558824,-0.49695238,-0.60813206,-1.6510667,1.8913503,3.0355594,0.5419563,-1.1421547,-1.7828745,-4.0,4.0,4.0
-0.21005696,0.24442619,0.63288707,0.0042446284,-0.5185468,-0.64245284,-1.8525226,2.1038394,3.132294,0.63799936,-1.0137869,-1.6458337,-4.0,4.0,4.0
-0.24917564,0.28864416,0.69642794,0.017947758,-0.5373238,-0.67382747,-2.0602577,2.3180997,3.220468,0.73187006,-0.8587017,-1.4879255,-4.0,4.0,4.0
-0.2924986,0.33715022,0.7616573,0.033515673,-0.5526921,-0.7018182,-2.2726755,2.5323715,3.3013918,0.82509756,-0.6731446,-1.3075547,-4.0,4.0,4.0
-0.34010193,0.38992828,0.8284455,0.050955452,-0.5640649,-0.72598654,-2.4879723,2.7450328,3.376611,0.91891766,-0.45995763,-1.1056668,-4.0,4.0,4.0
-0.39202276,0.44693,0.8966941,0.07027478,-0.570909,-0.7458921,-2.7040286,2.9544475,3.4476738,1.0129935,-0.21937336,-0.8808981,-4.0,4.0,4.0
-0.448252,0.5080732,0.9663344,0.0914862,-0.57264453,-0.76106757,-2.9184384,3.1589515,3.5160797,1.1092951,0.05027692,-0.6333889,-4.0,4.0,4.0
