0,1,2,3
0.9056271,0.5671383,0.79209304,0.6867295
0.91168135,0.7004808,0.84005976,0.7516495
0.9186215,0.7712903,0.8671212,0.7962775
0.924219,0.8162886,0.88373935,0.8269234
0.9272717,0.8446503,0.89360535,0.84723496
0.92847824,0.8643879,0.900408,0.86177635
0.9285298,0.8791103,0.9047543,0.871894
0.9279945,0.8908641,0.9076643,0.8794287
0.9268027,0.9003144,0.90911365,0.8853173
0.92487824,0.90745056,0.9090309,0.8896351
0.92203563,0.913021,0.90809125,0.89328736
0.9183329,0.9172512,0.9065025,0.8957663
0.9135752,0.92029285,0.90445304,0.8972866
0.90798175,0.9223023,0.9013461,0.8977684
0.90132374,0.9236451,0.89724135,0.89710987
0.89323777,0.9237203,0.89212567,0.8952717
0.88390535,0.92254686,0.88575375,0.8917592
0.8737572,0.9199788,0.87912214,0.8874101
0.8624496,0.91562945,0.8718867,0.88195014
0.8496898,0.91042376,0.8624751,0.87438893
0.83440185,0.9042219,0.8523426,0.86478573
0.814806,0.8957503,0.83939636,0.85377014
0.79118305,0.8830421,0.82135963,0.8390235
0.7620337,0.86480856,0.79733396,0.81855434
0.7252234,0.8406336,0.7669748,0.79160595
0.6848138,0.81129265,0.73254186,0.7586975
0.64704907,0.7747292,0.69426143,0.7199352
0.6079955,0.7316977,0.653432,0.67878497
0.57018137,0.680581,0.60997295,0.6368512
0.5299538,0.6311792,0.5637324,0.59687674
0.48447123,0.58226216,0.51464593,0.5542068
0.43355945,0.52836156,0.4584622,0.5049763
0.38010886,0.4700548,0.40201488,0.45203927
0.3282339,0.41224867,0.34597024,0.3969268
0.2811271,0.35672194,0.29384094,0.3430595
0.23725119,0.3013881,0.24640825,0.29145494
0.19470888,0.24822333,0.20043056,0.24337193
0.15193659,0.19730605,0.15719736,0.19672516
0.110351674,0.14934629,0.116262704,0.15162832
0.07049324,0.10200889,0.07492387,0.10818287
0.032246273,0.057131298,0.035964023,0.06670277
-0.002001986,0.015478439,0.00011622859,0.027426504
-0.03246661,-0.023403514,-0.03268734,-0.007597207
-0.058941115,-0.05735331,-0.060852055,-0.037934966
-0.08366801,-0.087171786,-0.08532968,-0.06577397
-0.10438109,-0.115443535,-0.10682147,-0.09125633
-0.12110567,-0.1381109,-0.12614182,-0.11373394
-0.13353907,-0.15524043,-0.14146025,-0.1307396
-0.14146663,-0.16876073,-0.15280938,-0.14446588
-0.14505905,-0.17796326,-0.15991262,-0.15527457
-0.14672105,-0.18552092,-0.16322614,-0.1615819
-0.14373046,-0.19001217,-0.16253658,-0.16399498
-0.13904387,-0.19026105,-0.15785438,-0.16286564
-0.13608257,-0.18688576,-0.15118991,-0.15994772
-0.13401306,-0.18281057,-0.1438839,-0.15581916
-0.13077153,-0.17795953,-0.13532329,-0.15053493
-0.12708238,-0.17430858,-0.12838419,-0.1442947
-0.12415342,-0.17127983,-0.12245641,-0.13841313
-0.120997354,-0.16770461,-0.11851923,-0.13355146
-0.11773607,-0.16499482,-0.11448018,-0.12858
-0.1137574,-0.16054395,-0.109891154,-0.12285598
-0.108351804,-0.15453137,-0.1047088,-0.116446875
-0.10117639,-0.14619628,-0.09889805,-0.10974853
-0.09392308,-0.13746771,-0.091398366,-0.10273233
-0.08421983,-0.12701806,-0.084501676,-0.09385759
-0.07288783,-0.11517454,-0.077817164,-0.08282272
-0.060479414,-0.10592019,-0.06827384,-0.07115916
-0.045204986,-0.09329999,-0.055792034,-0.058063775
-0.033002105,-0.07865623,-0.043095417,-0.044653777
-0.023154488,-0.06438845,-0.031225882,-0.031163571
-0.015793025,-0.05350153,-0.020815525,-0.020307012
-0.005523777,-0.041905012,-0.010312489,-0.011191402
0.0061256983,-0.030037181,0.0021219961,0.00069175847
0.015686922,-0.018040817,0.012858487,0.012536378
0.024754276,-0.006128452,0.02342399,0.020415692
0.034644894,0.0060445215,0.034994613,0.029205186
0.046002243,0.01953412,0.047098737,0.03988876
0.05892265,0.033424016,0.058484748,0.050656468
0.07465904,0.04735161,0.07074643,0.06291757
0.09156933,0.0613844,0.08415961,0.077457465
0.10727832,0.07686766,0.09898501,0.09189967
0.121510185,0.092334814,0.11491322,0.10623654
0.13400559,0.10685445,0.12920888,0.12019319
0.14533067,0.11972853,0.14091504,0.13256055
0.15479347,0.13184533,0.15205882,0.14367248
0.16148178,0.14263946,0.16105486,0.15469784
0.16497792,0.15143418,0.16651022,0.16324095
0.17014627,0.15850738,0.17048837,0.16994792
0.17907804,0.1666091,0.17573799,0.17636076
0.1900473,0.17533554,0.18290555,0.18381687
0.20191906,0.18524563,0.19171456,0.19228919
0.2144185,0.19665729,0.20181756,0.20075265
0.22743487,0.20953138,0.21382898,0.21035214
0.24171473,0.22473474,0.22777383,0.22122124
0.25733718,0.24037051,0.24248046,0.23363462
0.27314752,0.257005,0.25717932,0.24839029
0.2895404,0.27412114,0.27229148,0.26312107
0.30639273,0.29109362,0.28802153,0.2782949
0.3226647,0.30825758,0.3035014,0.2928482
0.3377603,0.32504883,0.31813255,0.30752715
