0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.3,4.0
1.1985033e-05,-3.0261745e-07,8.909341e-05,0.00021874881,0.031158669,-0.00078266434,0.002126094,3.0351881e-05,0.006304678,-0.0031023487,2.8767135,-0.10446277,4.0,-1.3,4.0
0.00016120372,3.5534558e-06,0.00022734521,6.392613e-05,0.10610387,-0.0053268867,0.015190634,0.0005230932,0.0077903606,-0.008495599,4.418412,-0.3682825,4.0,-1.3,4.0
0.0007417534,3.0573996e-05,0.00042205804,6.8767426e-05,0.2022818,-0.015711727,0.046190206,0.0025349979,0.012285577,0.017650114,5.086175,-0.67072934,4.0,-1.3,4.0
0.0021573333,0.00012278675,0.0007409733,0.0011917587,0.3064634,-0.03188374,0.09922315,0.007198871,0.020024702,0.105600856,5.269926,-0.93775713,4.0,-1.3,4.0
0.004873114,0.00034135056,0.0012331528,0.0046941536,0.41149426,-0.052796572,0.17646751,0.015235434,0.029247813,0.25278258,5.2023473,-1.1436915,4.0,-1.3,4.0
0.009383862,0.000755372,0.0019048258,0.011586819,0.51388764,-0.07721466,0.27881104,0.02669508,0.037586298,0.44397157,5.025045,-1.2884568,4.0,-1.3,4.0
0.016194062,0.0014278853,0.0027151206,0.022712342,0.61226094,-0.10400712,0.40642312,0.040919736,0.04277206,0.6738249,4.8062615,-1.3846078,4.0,-1.3,4.0
0.025810242,0.0024022162,0.0035845637,0.038692676,0.7059567,-0.1324122,0.5594533,0.056619473,0.04332397,0.9273318,4.5565133,-1.4532839,4.0,-1.3,4.0
0.03874252,0.0036905073,0.0044104853,0.05986902,0.79417425,-0.16213869,0.73800856,0.07197814,0.038261034,1.1900353,4.2561417,-1.5223507,4.0,-1.3,4.0
0.055499054,0.0052644443,0.005072773,0.08627271,0.87584215,-0.19346026,0.9418123,0.0847999,0.026899297,1.452652,3.9013047,-1.6129683,4.0,-1.3,4.0
0.076580346,0.007049457,0.005444555,0.118204445,0.9498864,-0.2268041,1.1704057,0.09264947,0.009304082,1.7504798,3.493914,-1.7264744,4.0,-1.3,4.0
0.10248296,0.008918823,0.0054141544,0.15686664,1.0151967,-0.2627346,1.4240973,0.09271031,-0.012876162,2.1311398,3.0256808,-1.8700008,4.0,-1.3,4.0
0.13371219,0.010682877,0.0049165897,0.2038047,1.070434,-0.30177665,1.7027766,0.08150172,-0.037009574,2.5616171,2.4838727,-2.039061,4.0,-1.3,4.0
0.17073104,0.012079608,0.0039325375,0.2588777,1.113901,-0.34448817,2.0018396,0.055497207,-0.06128638,2.925793,1.8451293,-2.2371595,4.0,-1.3,4.0
0.21386859,0.012789668,0.0024785935,0.32003665,1.143617,-0.39134532,2.3134124,0.012663174,-0.08340319,3.1737902,1.1151564,-2.4470236,4.0,-1.3,4.0
0.26330397,0.012473194,0.0006404461,0.385269,1.1582918,-0.44219184,2.6304529,-0.04699211,-0.09889389,3.3355167,0.3543858,-2.631975,4.0,-1.3,4.0
0.31907842,0.010810003,-0.0013990849,0.45289713,1.1580621,-0.4964305,2.9462876,-0.121557266,-0.102707095,3.4118001,-0.3701539,-2.7889445,4.0,-1.3,4.0
0.3811065,0.007534628,-0.0033597331,0.5210773,1.1437926,-0.5536279,3.2548575,-0.20749101,-0.09036587,3.3887744,-1.0500779,-2.927561,4.0,-1.3,4.0
0.4491901,0.0024664649,-0.0048830938,0.5877024,1.1162827,-0.61338854,3.5511441,-0.29995388,-0.058485124,3.254774,-1.69245,-3.0434825,4.0,-1.3,4.0
0.5230459,-0.0044697043,-0.0055537485,0.650537,1.0765848,-0.675039,3.8315136,-0.39329618,-0.0049403757,3.0114994,-2.2636647,-3.1107368,4.0,-1.3,4.0
0.60232216,-0.013230303,-0.004938157,0.7075743,1.0263134,-0.7373281,4.092733,-0.4814049,0.069910005,2.6785913,-2.7474754,-3.106514,4.0,-1.3,4.0
0.6866151,-0.023654029,-0.0026277252,0.75726247,0.9673864,-0.7988034,4.333011,-0.5587895,0.16413295,2.2858632,-3.1278508,-3.02695,4.0,-1.3,4.0
0.7754987,-0.035481166,0.0017360486,0.79903054,0.9018708,-0.8578125,4.551792,-0.6211729,0.27468485,1.8952839,-3.4086125,-2.8593073,4.0,-1.3,4.0
0.86854523,-0.048382882,0.008445799,0.83342683,0.8315824,-0.9125927,4.749386,-0.6659702,0.39817137,1.5560623,-3.6087716,-2.6056092,4.0,-1.3,4.0
0.96533734,-0.06199664,0.01772757,0.8618539,0.7578494,-0.9616152,4.9264708,-0.6923861,0.53142196,1.3033636,-3.7596545,-2.289169,4.0,-1.3,4.0
1.0654725,-0.07596042,0.029752173,0.88629586,0.6813408,-1.0040112,5.083803,-0.7012152,0.6721257,1.1591089,-3.8865504,-1.9494324,4.0,-1.3,4.0
1.1685605,-0.08994077,0.044651084,0.9089114,0.60258263,-1.0396626,5.2218103,-0.69445467,0.818672,1.1171305,-3.9837925,-1.6196096,4.0,-1.3,4.0
1.2742183,-0.103653304,0.06253389,0.9314989,0.5222743,-1.0690562,5.3408093,-0.67494464,0.970475,1.1544309,-4.0398097,-1.3276515,4.0,-1.3,4.0
1.382068,-0.11687545,0.08350587,0.9555318,0.44122928,-1.0931387,5.4410563,-0.645995,1.1276172,1.2563432,-4.0588236,-1.0900811,4.0,-1.3,4.0
1.4917367,-0.12945382,0.107674465,0.9819421,0.36016613,-1.1130507,5.522739,-0.6111624,1.2901272,1.3882787,-4.0409546,-0.91043556,4.0,-1.3,4.0
1.6028563,-0.14130658,0.13514557,1.0111462,0.2798554,-1.1299151,5.586217,-0.5740138,1.4577917,1.5324454,-3.9836047,-0.7841914,4.0,-1.3,4.0
1.7150686,-0.15242188,0.1660165,1.0431763,0.20105916,-1.1447158,5.6322,-0.5379637,1.6299798,1.6686065,-3.8909402,-0.7021992,4.0,-1.3,4.0
1.8280351,-0.16285305,0.20036943,1.0778106,0.12440385,-1.158221,5.6618795,-0.5060752,1.8058634,1.7924737,-3.7703295,-0.6533364,4.0,-1.3,4.0
1.9414461,-0.17271024,0.2382701,1.1147408,0.050389424,-1.1710383,5.676911,-0.4809534,1.9845912,1.8963547,-3.627372,-0.6324426,4.0,-1.3,4.0
2.0550275,-0.18215026,0.27976593,1.1534626,-0.020535946,-1.1836585,5.6793237,-0.464648,2.1652374,1.9700643,-3.4603462,-0.63260573,4.0,-1.3,4.0
2.16855,-0.19136456,0.32488638,1.193303,-0.0878024,-1.1964405,5.6714306,-0.45855787,2.3469124,2.0084429,-3.2610621,-0.64756197,4.0,-1.3,4.0
2.2818325,-0.20056579,0.37364382,1.233593,-0.15079576,-1.2096124,5.6557035,-0.46340695,2.5287678,2.015599,-3.034497,-0.6704818,4.0,-1.3,4.0
2.3947425,-0.2099747,0.42603117,1.2737378,-0.20903593,-1.2232764,5.634631,-0.4793015,2.7097497,1.9942492,-2.7865198,-0.6963102,4.0,-1.3,4.0
