0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,4.0
-6.6936964e-06,1.1887079e-05,0.0011831892,-0.00804791,-0.0118003795,-0.0135012055,-0.0012517765,0.0022836379,0.11779291,-0.8686203,-1.1287808,-1.2433441,-4.0,4.0,4.0
-9.511044e-05,0.00017539212,0.0046141436,-0.037783526,-0.04319497,-0.045526575,-0.009021018,0.016936734,0.22124249,-2.1734276,-1.9407516,-1.8500674,-4.0,4.0,4.0
-0.0004295978,0.0008188191,0.009777358,-0.0963237,-0.08614563,-0.082747295,-0.025795767,0.050620146,0.287324,-3.6508398,-2.2921748,-1.7625407,-4.0,4.0,4.0
-0.0011752285,0.0023196186,0.015785703,-0.18025757,-0.1333064,-0.11275903,-0.04982072,0.1021847,0.3067792,-4.6373,-2.3816104,-1.192957,-4.0,4.0,4.0
-0.00246101,0.005009887,0.021825884,-0.27708492,-0.17997147,-0.1297831,-0.07971838,0.1693987,0.29328796,-4.9391856,-2.266109,-0.5105541,-4.0,4.0,4.0
-0.004403119,0.009200629,0.027402071,-0.3739673,-0.22342134,-0.13389438,-0.11551754,0.2523638,0.26247504,-4.668859,-2.0669389,0.07323575,-4.0,4.0,4.0
-0.0071264915,0.01522111,0.032286264,-0.46095997,-0.26244718,-0.12813547,-0.15805368,0.35279572,0.22579919,-3.9671545,-1.8413509,0.4688412,-4.0,4.0,4.0
-0.010783484,0.023455463,0.036467467,-0.5306685,-0.2973444,-0.116839,-0.20938286,0.4747048,0.1941372,-2.9748206,-1.6464291,0.61377704,-4.0,4.0,4.0
-0.015584954,0.03439696,0.040165048,-0.5796352,-0.3280116,-0.10534731,-0.2730266,0.62436235,0.17891741,-1.9295161,-1.4111464,0.5005696,-4.0,4.0,4.0
-0.02180001,0.048626762,0.04376626,-0.6084808,-0.35369098,-0.09786672,-0.35090676,0.8033927,0.18479294,-0.97295815,-1.1595986,0.23093575,-4.0,4.0,4.0
-0.029716507,0.066706695,0.04769435,-0.61931795,-0.37453416,-0.09640244,-0.44293663,1.0082415,0.21095823,-0.12200111,-0.9313965,-0.08620575,-4.0,4.0,4.0
-0.03959896,0.08907421,0.05230775,-0.6136715,-0.39137933,-0.101287335,-0.5472623,1.230891,0.25272956,0.6768322,-0.7643784,-0.40203884,-4.0,4.0,4.0
-0.05168265,0.11601649,0.057892125,-0.59278446,-0.4054688,-0.11238959,-0.662989,1.4647506,0.3078419,1.3972706,-0.64915526,-0.70282507,-4.0,4.0,4.0
-0.06619293,0.14770229,0.06470446,-0.5582913,-0.41737887,-0.12908322,-0.78988266,1.7043545,0.37542352,2.0404143,-0.5399892,-0.9586629,-4.0,4.0,4.0
