0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.3,4.0
1.6679027e-05,-4.562095e-06,0.0015421596,0.012253183,0.023536881,-0.006242107,0.0029282442,-0.00074669806,0.16147806,1.1138103,2.128215,-0.59692234,4.0,-1.3,4.0
0.00023030036,-5.784014e-05,0.00664604,0.04141958,0.078471355,-0.023148734,0.02199599,-0.005366891,0.3519397,1.7436519,3.2431085,-1.0748453,4.0,-1.3,4.0
0.0010740219,-0.00025700236,0.015691593,0.08036273,0.14993839,-0.048559688,0.067198224,-0.015503969,0.55360895,2.1213212,3.8427658,-1.4528157,4.0,-1.3,4.0
0.0031279454,-0.00071808626,0.028802179,0.12541735,0.2304165,-0.080827415,0.14359763,-0.031603392,0.7572507,2.3667252,4.169509,-1.7647896,4.0,-1.3,4.0
0.007040182,-0.0015620673,0.045954958,0.17448413,0.31560454,-0.118852876,0.25317097,-0.053824045,0.9569831,2.5291905,4.327062,-2.0317059,4.0,-1.3,4.0
0.01347534,-0.0029134979,0.067025565,0.2262391,0.40277967,-0.16189243,0.3957196,-0.08240925,1.148395,2.6390967,4.375348,-2.26791,4.0,-1.3,4.0
0.023077458,-0.0049041053,0.09181306,0.27980897,0.49011636,-0.20942119,0.56946534,-0.117845714,1.3282099,2.7129328,4.348054,-2.4817219,4.0,-1.3,4.0
0.03644255,-0.0076779146,0.12006139,0.33458623,0.57635343,-0.26104683,0.77144885,-0.16087034,1.4941967,2.7609277,4.267808,-2.678306,4.0,-1.3,4.0
0.05409859,-0.011395556,0.15148076,0.3901108,0.6605591,-0.3164561,0.9978765,-0.21238619,1.6452174,2.7884254,4.147005,-2.8602633,4.0,-1.3,4.0
0.07649178,-0.01623617,0.18576978,0.44599122,0.7420275,-0.3753696,1.2444144,-0.27331096,1.7812492,2.7962484,3.9951844,-3.0289667,4.0,-1.3,4.0
0.10397874,-0.0223958,0.22263764,0.50184137,0.82020485,-0.43751758,1.5064796,-0.3443865,1.9033585,2.7864711,3.8190095,-3.1828828,4.0,-1.3,4.0
0.13682365,-0.030082054,0.26182437,0.55739045,0.8946709,-0.5025521,1.7794574,-0.4260095,2.0135472,2.768209,3.6257432,-3.3167753,4.0,-1.3,4.0
