0,1,2,3
0.62193,-0.053394943,-0.031067638,0.39799684
0.30276918,0.061227664,0.07688135,0.3495621
0.11803778,0.102108456,0.12688182,0.255145
0.04569858,0.10486671,0.12798028,0.17899604
0.0326939,0.1050275,0.11039117,0.12729393
0.043418016,0.10756111,0.09274612,0.09668071
0.06201591,0.114512585,0.08696301,0.08425271
0.08016031,0.12387152,0.09160448,0.08341294
0.09776012,0.13655214,0.100175984,0.08895362
0.1158808,0.15396178,0.11094063,0.09771261
0.1344251,0.17490014,0.12551568,0.107578196
0.15786952,0.19723289,0.14566796,0.12186878
0.18266232,0.21897005,0.17141648,0.14369453
0.20820336,0.23791613,0.20357394,0.16506903
0.23669934,0.25941968,0.2391538,0.1902589
0.26409653,0.28545073,0.27181315,0.218681
0.29319444,0.31149867,0.3057627,0.25146747
0.32144085,0.3385597,0.33769882,0.28096393
0.35142818,0.36159524,0.37390903,0.30789074
0.38516942,0.38086963,0.41062438,0.3368928
0.416899,0.39976785,0.44537303,0.367756
0.43996274,0.41752857,0.4777907,0.4012582
0.4580712,0.43818936,0.5036017,0.42751935
0.47334978,0.4606536,0.5247825,0.44827387
0.48831305,0.48414257,0.5421975,0.46408796
0.5039631,0.50163627,0.5551437,0.47526783
0.5196314,0.5166305,0.5685388,0.48661056
0.5303985,0.53359056,0.57771605,0.5009932
0.5425072,0.5491445,0.58640814,0.515157
0.5555217,0.5634216,0.59572613,0.5288761
0.5677779,0.5746297,0.6056715,0.54285544
0.5790412,0.587437,0.6148505,0.55632925
0.58878434,0.59692335,0.6241386,0.5682875
0.59887075,0.6056748,0.6316653,0.5795963
0.60737526,0.61344063,0.6385392,0.59161884
0.6140082,0.6198573,0.64421856,0.60270965
0.62051934,0.6259239,0.6484544,0.61216164
0.62639403,0.6300396,0.6512244,0.61952925
0.63204265,0.63291264,0.6537664,0.6260764
0.6372063,0.63528013,0.6551764,0.6321931
0.641853,0.63725156,0.65524375,0.6377715
0.64581525,0.63878924,0.65488875,0.6428187
0.64920056,0.63952786,0.6547332,0.64782286
0.65148854,0.6401621,0.65353465,0.65220404
0.6523693,0.64041686,0.6517102,0.65577227
0.6524086,0.6410557,0.64875567,0.65822804
0.6523121,0.6424625,0.64482456,0.6597568
0.6520879,0.6436703,0.64100283,0.66050065
0.6513324,0.6427413,0.6365088,0.6606996
0.64904433,0.64063376,0.63133574,0.66042817
0.6444318,0.6373377,0.62532175,0.65868664
0.6389358,0.63202786,0.61746657,0.6558875
0.63132167,0.6243588,0.60923743,0.65029764
0.6234808,0.61606693,0.60157955,0.64416313
0.61478424,0.60636556,0.5916394,0.63686943
0.6049998,0.59725,0.5809437,0.6279503
0.59338725,0.5861566,0.5693754,0.6178771
0.58100176,0.5749121,0.55668247,0.60738945
0.56324327,0.56440765,0.5403791,0.5944161
0.545593,0.5534422,0.52539986,0.5798019
0.52856195,0.5402601,0.51112217,0.56386054
0.51345915,0.5260969,0.4971212,0.5474518
0.49803358,0.5105931,0.4825872,0.52997255
0.48419857,0.49428308,0.467753,0.51249105
0.47190285,0.4758233,0.45398086,0.49531606
0.45787087,0.4578021,0.4386648,0.47956428
0.44115427,0.44134,0.42263395,0.46384764
0.4214529,0.42500064,0.4055948,0.44642526
0.4001408,0.4069318,0.386218,0.42728317
0.37877387,0.38757926,0.36786494,0.40696338
0.35632327,0.36696377,0.34925976,0.38621876
0.33384052,0.34472907,0.32883015,0.36521998
0.31036058,0.32248235,0.3072412,0.34302676
0.2871232,0.29956797,0.2856699,0.32043716
0.2634834,0.27690727,0.2636678,0.29793367
0.23822571,0.25353065,0.24113014,0.27461407
0.21278167,0.22877999,0.21858388,0.24911521
0.18766586,0.20264043,0.19700651,0.22377351
0.16247183,0.17565538,0.17347403,0.19815311
0.13812366,0.14969286,0.1491215,0.17229478
0.112187,0.124695495,0.12465203,0.14609171
0.08601386,0.09911903,0.09995113,0.11960391
0.061040677,0.0733295,0.07590341,0.092971995
0.035946768,0.04795854,0.052181274,0.067314155
0.011658281,0.023324233,0.027085688,0.0430837
-0.013347706,-0.0027386388,0.001385561,0.01820776
-0.037847083,-0.028465765,-0.023882994,-0.0061775115
-0.062047098,-0.05275841,-0.048393916,-0.029484833
-0.086715825,-0.076887,-0.072178,-0.05314813
-0.11246912,-0.10129354,-0.09640424,-0.07719592
-0.13819298,-0.12577094,-0.1194721,-0.10150595
-0.16244292,-0.14961344,-0.14376117,-0.12455025
-0.18524583,-0.17027965,-0.16666807,-0.14556576
-0.20571007,-0.18877548,-0.1870948,-0.16657771
-0.22397734,-0.20635958,-0.20542535,-0.18687406
-0.24083278,-0.22382854,-0.2226547,-0.20593879
-0.25620326,-0.24059014,-0.2385501,-0.22340813
-0.27042,-0.25648147,-0.25265387,-0.23939715
-0.2841377,-0.27134606,-0.2662663,-0.25468603
-0.29771158,-0.28534532,-0.27969986,-0.26915792
