0,1,2,3
-0.22828317,0.4235954,0.38150465,-0.38282382
-0.08211976,0.12623523,0.28768814,-0.26634857
0.03675887,-0.0038140197,0.21754941,-0.1400437
0.091569416,-0.017584281,0.1541569,-0.014288717
0.10926874,0.0072330185,0.11638384,0.056572948
0.11799748,0.03840152,0.09959224,0.097779185
0.12449516,0.06883914,0.09296909,0.122444995
0.13340695,0.09570633,0.09420893,0.14006007
0.14918043,0.12358235,0.103397235,0.15547968
0.17523229,0.15647222,0.122557215,0.17642146
0.20943333,0.1918481,0.14920563,0.20302567
0.25275925,0.23565483,0.1847278,0.23827273
0.3168619,0.29392236,0.23645207,0.28379926
0.3999633,0.36326057,0.3019523,0.34209302
0.4871238,0.43594784,0.3813181,0.41216162
0.56837296,0.5028705,0.4668314,0.4875302
0.6352528,0.55717254,0.5349243,0.5574335
0.68976927,0.6096812,0.5921092,0.61653566
0.73152226,0.6588436,0.64458495,0.6621747
0.7642279,0.6972141,0.6913633,0.6999076
0.7889098,0.7291192,0.7292259,0.73137915
0.80836475,0.7548797,0.7572856,0.7572002
0.8242134,0.7774715,0.7816709,0.77769506
0.83655137,0.7966936,0.8019142,0.7963309
0.84476674,0.8120006,0.81808937,0.81052274
0.85038817,0.82513356,0.8306415,0.8214629
0.85422623,0.8358906,0.84038717,0.8308743
0.8560668,0.8452707,0.84809,0.838428
0.85578156,0.8534123,0.8533833,0.8448975
0.853474,0.8596768,0.8571021,0.8495615
0.84918714,0.8643218,0.85924625,0.8526046
0.84275365,0.86738116,0.8599299,0.85355145
0.83461684,0.8689835,0.85865986,0.85276294
0.82530326,0.86865705,0.85587406,0.85057753
0.8149356,0.8666437,0.8512466,0.8469435
0.80317605,0.86229336,0.84565425,0.8416425
0.7904496,0.85559547,0.83931243,0.8344373
0.77723175,0.8459759,0.8308583,0.8257125
0.7647655,0.8346523,0.82132983,0.8158572
0.7523315,0.81950134,0.8099685,0.8055275
0.73818684,0.80261326,0.796932,0.79381627
0.7208063,0.7830491,0.78092206,0.77915645
0.6995763,0.7611409,0.7623121,0.7611871
0.67551833,0.7353475,0.7402477,0.7393786
0.6482184,0.70655084,0.7137103,0.7147244
0.61571205,0.67314774,0.6793537,0.68556184
0.57773066,0.6339203,0.63933384,0.64764935
0.54028285,0.5926786,0.5971765,0.607828
0.5026318,0.5490233,0.55401945,0.5666232
0.46110412,0.50390023,0.50964797,0.52269256
0.4194939,0.45641914,0.4651242,0.47611472
0.37832144,0.40933028,0.42022738,0.4308177
0.33450335,0.36225235,0.3748514,0.38583708
0.2910968,0.3157105,0.32919225,0.34150323
0.24869753,0.2689521,0.28462994,0.29703075
0.20720714,0.2249944,0.24227875,0.25301048
0.16754307,0.18412475,0.20118925,0.21053715
0.12924705,0.14523706,0.16064145,0.17029685
0.09132684,0.1075181,0.120181315,0.13138779
0.053734154,0.07157313,0.08161856,0.09393081
0.018634804,0.03792874,0.045274947,0.05831028
-0.01466155,0.0070388885,0.008595434,0.023662891
-0.045421768,-0.021702403,-0.026160067,-0.008678484
-0.07204335,-0.046976894,-0.0568184,-0.03740061
-0.09544576,-0.07032335,-0.083555594,-0.062683046
-0.11673922,-0.0908934,-0.10744814,-0.08564228
-0.13602243,-0.109179564,-0.12768985,-0.106663436
-0.15441161,-0.12612794,-0.14699832,-0.12517376
-0.17152618,-0.1417427,-0.16546403,-0.14293012
-0.18706596,-0.15559107,-0.18258695,-0.15977973
-0.20079413,-0.16962188,-0.19759913,-0.17574811
-0.2133313,-0.18283904,-0.21061234,-0.18999624
-0.22459643,-0.19466646,-0.22241487,-0.20263812
-0.23468184,-0.2057936,-0.23305002,-0.21506114
-0.24365497,-0.21606347,-0.24308546,-0.22516508
-0.25130752,-0.22477919,-0.25254375,-0.2336144
-0.25799912,-0.23313288,-0.2609099,-0.24188583
-0.26378104,-0.2405489,-0.26829252,-0.24974403
-0.26809338,-0.24654998,-0.27402544,-0.25593275
-0.27207044,-0.2518237,-0.27851328,-0.2611431
-0.27533066,-0.25482658,-0.28278613,-0.26489583
-0.27809498,-0.25751105,-0.28610754,-0.26761207
-0.28060398,-0.25939167,-0.2886476,-0.2699097
-0.28306326,-0.26102823,-0.29087263,-0.27224246
-0.28512374,-0.26285538,-0.29314923,-0.27496213
-0.2867493,-0.26471013,-0.29493725,-0.2776533
-0.2868319,-0.2664665,-0.29602242,-0.28060985
-0.28642264,-0.26777512,-0.29631558,-0.28245357
-0.2855133,-0.26850167,-0.2957011,-0.28323415
-0.2840792,-0.26853392,-0.2949893,-0.28338426
-0.28226107,-0.26853594,-0.29354182,-0.28300303
-0.28051493,-0.26896158,-0.29196236,-0.2818154
-0.2796808,-0.2700961,-0.29082102,-0.28095323
-0.27942726,-0.27140749,-0.29007196,-0.28081748
-0.28006434,-0.27278608,-0.28988242,-0.28124884
-0.28075236,-0.2743834,-0.28997895,-0.28198588
-0.28131133,-0.27622837,-0.29018056,-0.2827722
-0.2819673,-0.27816728,-0.29028833,-0.28366843
-0.2826601,-0.2802619,-0.2904981,-0.28466895
-0.28319156,-0.28252572,-0.29063758,-0.28568533
