0,1,2,3
-0.29194525,0.6301842,0.08184024,-0.29967618
-0.09914421,0.3338818,0.18249059,-0.27035913
0.06374762,0.115740165,0.21800017,-0.1431574
0.15034536,0.05209125,0.210629,-0.008842466
0.18447469,0.063113175,0.19400133,0.09353512
0.1954556,0.09528012,0.18526658,0.15233405
0.20217617,0.12328703,0.18370515,0.18332814
0.21229002,0.1474732,0.18937808,0.20300183
0.22859353,0.16787294,0.20187888,0.22094129
0.25366476,0.19019113,0.218778,0.24381228
0.2839006,0.21558192,0.24047348,0.26848498
0.31704673,0.24366376,0.26603755,0.29725996
0.3525501,0.27520415,0.29407698,0.32975018
0.38915482,0.3056691,0.32725772,0.36315957
0.42773592,0.34004173,0.36395672,0.4015902
0.46880627,0.37644327,0.40706715,0.44131324
0.50452775,0.40999064,0.44445655,0.4765277
0.5348094,0.4457314,0.47936994,0.507246
0.56086206,0.48197654,0.5096666,0.5337453
0.58335155,0.51540184,0.54027283,0.5526303
0.6059418,0.5435762,0.5714191,0.57247746
0.62620354,0.56697017,0.59887487,0.59341
0.6457233,0.588192,0.6210302,0.61377794
0.6639071,0.60911787,0.6415124,0.6341057
0.67881745,0.6318841,0.6587807,0.6501961
0.6919211,0.65300095,0.6748244,0.6662173
0.70394194,0.6734939,0.68948424,0.68085706
0.71477807,0.6916538,0.7028002,0.6933056
0.72393095,0.7083882,0.7139973,0.7040944
0.7318219,0.7228786,0.7243134,0.7143394
0.7381129,0.7362953,0.73257506,0.7235326
0.7431079,0.7483138,0.7385323,0.73181653
0.74683654,0.7591088,0.7429335,0.7391275
0.74953914,0.76918393,0.7454244,0.7456248
0.750412,0.77751446,0.7469249,0.75118583
0.7499418,0.7844907,0.7472634,0.7554549
0.7482898,0.79024136,0.7466736,0.7583337
0.745627,0.7948982,0.745466,0.7602761
0.74272287,0.7984823,0.7440261,0.76190037
0.739009,0.801246,0.74273944,0.7622764
0.7355031,0.80222094,0.74196637,0.76225305
0.73216355,0.8014574,0.73995423,0.7621343
0.72839826,0.79946786,0.7396239,0.76089233
0.72324693,0.79619765,0.7392844,0.7592753
0.717376,0.79100525,0.7382881,0.7551655
0.7111257,0.78247446,0.73593616,0.7496159
0.70444137,0.77184886,0.73272574,0.7438564
0.6959278,0.75967634,0.7270398,0.736387
0.68489414,0.74569094,0.7198155,0.7264069
0.67179525,0.72868216,0.71057665,0.71380925
0.65654874,0.7090496,0.69900084,0.69965386
0.6380968,0.68611336,0.6832022,0.6824037
0.61636895,0.660391,0.6641142,0.6618582
0.5908021,0.6301617,0.6403793,0.6369314
0.5586426,0.59324217,0.6088555,0.60696405
0.52230424,0.5527883,0.57197237,0.57304376
0.48447636,0.5110016,0.53236175,0.534273
0.4457548,0.46923882,0.49056795,0.49455225
0.40756163,0.42771435,0.44949812,0.45435226
0.3693676,0.385966,0.40954894,0.41487932
0.33133534,0.34607774,0.36945006,0.3748473
0.29175058,0.3065415,0.3282574,0.33423996
0.24905096,0.26796943,0.2881481,0.29501778
0.21065862,0.2324285,0.24839067,0.2560365
0.17502911,0.1976301,0.21329454,0.21748285
0.14118032,0.16282788,0.17836373,0.18152596
0.108847305,0.12878834,0.1448329,0.14788558
0.07756124,0.09719964,0.11278394,0.11608373
0.046373364,0.065986514,0.081097595,0.08489776
0.014681751,0.036273427,0.04894661,0.052709214
-0.014965565,0.007849493,0.016779345,0.022792395
-0.043352533,-0.01756065,-0.01417632,-0.005803331
-0.070425965,-0.0416872,-0.041894086,-0.033684414
-0.09689264,-0.06705857,-0.06658951,-0.06158442
-0.120972425,-0.09130403,-0.0907937,-0.08877923
-0.14267528,-0.114514455,-0.114401154,-0.11370421
-0.16282833,-0.13720843,-0.13634382,-0.13567552
-0.18120764,-0.1575077,-0.15746489,-0.15568261
-0.19866374,-0.17629439,-0.17800015,-0.17396618
-0.21474987,-0.19403024,-0.19728746,-0.19156638
-0.22953042,-0.20958674,-0.21472384,-0.20861402
-0.24298123,-0.22315913,-0.23117965,-0.22467396
-0.25450942,-0.23583484,-0.24542876,-0.23854113
-0.26501575,-0.24758966,-0.25831497,-0.25088203
-0.2743104,-0.25809607,-0.27092305,-0.26163602
-0.28139126,-0.2665712,-0.28118223,-0.27129385
-0.2873538,-0.27336594,-0.28907713,-0.27923155
-0.2911652,-0.2771854,-0.29508883,-0.28522304
-0.29377007,-0.28029123,-0.29973748,-0.28956532
-0.29550558,-0.28247663,-0.3034755,-0.2922984
-0.2964326,-0.2841216,-0.30628467,-0.29425597
-0.29660228,-0.28540725,-0.3082041,-0.29567066
-0.29600593,-0.28626263,-0.30921987,-0.29642007
-0.2944573,-0.2864468,-0.30932367,-0.29695913
-0.29268155,-0.28629848,-0.3084928,-0.2969403
-0.2902877,-0.2862612,-0.30701998,-0.29660663
-0.28764302,-0.28617594,-0.30524182,-0.29590178
-0.28400916,-0.2844307,-0.30317673,-0.29431903
-0.28032085,-0.28272417,-0.30042034,-0.29199955
-0.27634797,-0.28092393,-0.2968349,-0.28902364
